...1	Log2 fold change	std error (log2)	Lower confidence limit (log2)	Upper confidence limit (log2)	Linear fold change	Lower confidence limit (linear)	Upper confidence limit (linear)	P-value	BH.p.value	method	Gene.sets	probe.ID
RPS6KB2-mRNA	-0.469	0.175	-0.811	-0.126	0.723	0.57	0.916	0.0551	0.173	loglinear	AMPK, Autophagy, PI3K, mTOR	NM_003952.2:980
NDUFA2-mRNA	-0.674	0.252	-1.17	-0.18	0.627	0.445	0.883	0.0556	0.173	lm.nb	Mitochondrial Respiration	NM_001185012.1:116
SNF8-mRNA	0.13	0.049	0.0343	0.226	1.09	1.02	1.17	0.0563	0.175	loglinear	Endocytosis	NM_001317192.1:234
PIK3CA-mRNA	0.433	0.164	0.112	0.754	1.35	1.08	1.69	0.0574	0.177	loglinear	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_006218.2:2445
PRDX5-mRNA	-0.339	0.129	-0.591	-0.0871	0.791	0.664	0.941	0.0577	0.177	lm.nb	Reactive Oxygen Response	NM_012094.4:600
HAAO-mRNA	-0.658	0.251	-1.15	-0.166	0.634	0.451	0.892	0.0588	0.178	lm.nb	TryptophanKynurenine Metabolism	NM_012205.2:243
PEBP1-mRNA	-0.313	0.12	-0.548	-0.0783	0.805	0.684	0.947	0.0592	0.178	loglinear	Reactive Oxygen Response	NM_002567.2:1335
AKT2-mRNA	0.556	0.213	0.138	0.973	1.47	1.1	1.96	0.0595	0.178	lm.nb	AMPK, Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR, p53 Pathway	NM_001626.4:699
ECHS1-mRNA	-0.404	0.155	-0.708	-0.1	0.756	0.612	0.933	0.0597	0.178	lm.nb	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_004092.3:125
AMPD3-mRNA	1	0.385	0.248	1.76	2	1.19	3.38	0.0598	0.178	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_000480.2:3033
SQSTM1-mRNA	0.49	0.19	0.118	0.863	1.4	1.09	1.82	0.0613	0.181	lm.nb	Cytokine & Chemokine Signaling	NM_003900.3:1445
LTA4H-mRNA	-0.985	0.383	-1.74	-0.234	0.505	0.3	0.85	0.0619	0.182	lm.nb	Amino Acid Synthesis	NM_001256643.1:1140
BTK-mRNA	0.638	0.25	0.148	1.13	1.56	1.11	2.19	0.0634	0.185	lm.nb	Antigen Presentation, NF-kB, TLR Signaling	NM_000061.1:570
COX7B-mRNA	-0.483	0.191	-0.858	-0.108	0.716	0.552	0.928	0.0652	0.189	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_001866.2:159
ADK-mRNA	-0.802	0.32	-1.43	-0.175	0.573	0.371	0.886	0.0662	0.191	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_001123.2:355
UQCRQ-mRNA	-0.399	0.16	-0.713	-0.0844	0.758	0.61	0.943	0.0678	0.194	lm.nb	Mitochondrial Respiration	NM_014402.4:172
NFKB2-mRNA	0.724	0.292	0.152	1.3	1.65	1.11	2.46	0.0683	0.195	lm.nb	Cytokine & Chemokine Signaling, Epigenetic Regulation, MAPK, NF-kB, TLR Signaling, Transcriptional Regulation	NM_002502.2:825
ATG2B-mRNA	-0.526	0.214	-0.945	-0.108	0.694	0.52	0.928	0.0694	0.197	lm.nb	Autophagy	NM_018036.5:1722
FANCD2-mRNA	-0.692	0.282	-1.25	-0.139	0.619	0.422	0.908	0.0703	0.198	lm.nb	DNA Damage Repair	NM_033084.3:260
ITGB5-mRNA	1.26	0.516	0.252	2.27	2.4	1.19	4.83	0.0705	0.198	lm.nb	Antigen Presentation, PI3K	NM_002213.3:2560
NSD1-mRNA	-0.448	0.185	-0.811	-0.0848	0.733	0.57	0.943	0.0729	0.203	lm.nb	Amino Acid Synthesis, Epigenetic Regulation	NM_022455.4:3140
PDP1-mRNA	-0.43	0.178	-0.779	-0.0809	0.742	0.583	0.945	0.0732	0.203	lm.nb	Mitochondrial Respiration	NM_001161778.1:950
NKG7-mRNA	0.328	0.136	0.0611	0.595	1.26	1.04	1.51	0.0737	0.203	lm.nb	NA	NM_005601.3:633
CDC20-mRNA	-1.16	0.486	-2.12	-0.212	0.446	0.231	0.863	0.0747	0.205	lm.nb	Antigen Presentation, Cell Cycle	NM_001255.2:430
JAK2-mRNA	0.549	0.231	0.0975	1	1.46	1.07	2	0.0757	0.206	lm.nb	Cell Cycle, Cytokine & Chemokine Signaling, Epigenetic Regulation, PI3K, Reactive Oxygen Response	NM_004972.3:1464
TXNRD1-mRNA	0.545	0.229	0.0963	0.994	1.46	1.07	1.99	0.0759	0.206	lm.nb	p53 Pathway	NM_001093771.1:1009
SLC2A14-mRNA	1.06	0.448	0.186	1.94	2.09	1.14	3.85	0.0764	0.206	lm.nb	Glucose Transport	NM_001286234.1:606
ARID2-mRNA	-0.624	0.263	-1.14	-0.108	0.649	0.454	0.928	0.0768	0.206	lm.nb	Epigenetic Regulation	NM_152641.2:3355
XRCC2-mRNA	-1.17	0.497	-2.15	-0.2	0.443	0.226	0.871	0.0775	0.207	lm.nb	DNA Damage Repair	NM_005431.1:600
TLR2-mRNA	1.08	0.468	0.163	2	2.11	1.12	3.99	0.0821	0.218	lm.nb	Antigen Presentation, PI3K, TLR Signaling	NM_003264.3:2402
GOT2-mRNA	-0.581	0.253	-1.08	-0.0838	0.669	0.474	0.944	0.0838	0.221	lm.nb	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism	NM_002080.2:2145
ACOX1-mRNA	-0.177	0.0775	-0.329	-0.0253	0.884	0.796	0.983	0.0842	0.221	loglinear	Fatty Acid Oxidation	NM_004035.5:2950
LY96-mRNA	1.16	0.513	0.159	2.17	2.24	1.12	4.49	0.0858	0.221	lm.nb	Antigen Presentation, NF-kB, TLR Signaling	NM_015364.2:360
ADAL-mRNA	-0.248	0.109	-0.462	-0.0335	0.842	0.726	0.977	0.086	0.221	loglinear	Nucleotide Salvage	NM_001012969.2:890
CD244-mRNA	-1.42	0.629	-2.66	-0.192	0.373	0.159	0.875	0.0861	0.221	lm.nb	NA	NM_001166663.1:22
SHMT1-mRNA	-0.559	0.247	-1.04	-0.0748	0.679	0.485	0.949	0.0864	0.221	lm.nb	Amino Acid Synthesis, Vitamin & Cofactor Metabolism	NM_148918.1:1800
COPS6-mRNA	-0.244	0.108	-0.455	-0.0326	0.844	0.729	0.978	0.0865	0.221	loglinear	DNA Damage Repair, Endocytosis	NM_006833.4:860
PSPH-mRNA	-0.419	0.186	-0.784	-0.0535	0.748	0.581	0.964	0.0879	0.222	lm.nb	Amino Acid Synthesis, Glutamine Metabolism	NM_004577.3:225
KMT2A-mRNA	-0.65	0.291	-1.22	-0.081	0.637	0.429	0.945	0.0887	0.222	lm.nb	Amino Acid Synthesis, Epigenetic Regulation, Transcriptional Regulation	NM_005933.2:14000
CDK9-mRNA	-0.316	0.142	-0.594	-0.0385	0.803	0.663	0.974	0.0894	0.222	loglinear	Nucleotide Synthesis	NM_001261.2:400
RRM2-mRNA	-1.32	0.597	-2.49	-0.155	0.399	0.178	0.898	0.0906	0.222	lm.nb	Cell Cycle, Nucleotide Synthesis	NM_001034.1:1615
VEGFA-mRNA	0.946	0.426	0.11	1.78	1.93	1.08	3.44	0.0907	0.222	lm.nb	Cytokine & Chemokine Signaling, Hypoxia, MAPK, PI3K	NM_001025366.1:1325
STK3-mRNA	0.472	0.213	0.0546	0.889	1.39	1.04	1.85	0.091	0.222	lm.nb	MAPK	NM_006281.3:1295
EXO1-mRNA	-1.28	0.579	-2.42	-0.148	0.411	0.187	0.902	0.091	0.222	lm.nb	Cell Cycle, DNA Damage Repair	NM_003686.3:2715
RRM1-mRNA	-0.276	0.125	-0.521	-0.0318	0.826	0.697	0.978	0.0911	0.222	loglinear	Nucleotide Synthesis	NM_001033.3:2444
BAD-mRNA	-0.377	0.17	-0.71	-0.0432	0.77	0.611	0.97	0.0912	0.222	lm.nb	Autophagy, PI3K	NM_004322.3:652
PDPK1-mRNA	-0.198	0.0894	-0.373	-0.0227	0.872	0.772	0.984	0.0912	0.222	loglinear	AMPK, Autophagy, PI3K, TCR & Costimulatory Signaling, mTOR	NM_002613.3:5935
SMAD4-mRNA	0.178	0.0809	0.0195	0.337	1.13	1.01	1.26	0.0925	0.224	loglinear	Cell Cycle	NM_005359.3:1370
GLRX-mRNA	0.936	0.433	0.0868	1.78	1.91	1.06	3.45	0.0968	0.233	lm.nb	Glutamine Metabolism	NM_002064.2:360
BRAF-mRNA	0.201	0.0929	0.0184	0.383	1.15	1.01	1.3	0.0971	0.233	loglinear	Cytokine & Chemokine Signaling, MAPK, mTOR	NM_004333.3:565
PTPRC-mRNA	0.791	0.371	0.0635	1.52	1.73	1.04	2.87	0.1	0.238	lm.nb	TCR & Costimulatory Signaling	NM_080923.2:154
ADA-mRNA	-0.471	0.221	-0.905	-0.0376	0.721	0.534	0.974	0.1	0.238	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_000022.2:1300
NDUFA12-mRNA	-0.248	0.117	-0.476	-0.0194	0.842	0.719	0.987	0.101	0.238	loglinear	Mitochondrial Respiration, Reactive Oxygen Response	NM_018838.3:315
MPC1-mRNA	-0.658	0.311	-1.27	-0.0482	0.634	0.415	0.967	0.102	0.239	lm.nb	Mitochondrial Respiration	NM_016098.2:210
RAD51-mRNA	-0.921	0.437	-1.78	-0.0636	0.528	0.292	0.957	0.103	0.239	lm.nb	Cell Cycle, DNA Damage Repair	NM_133487.2:566
TYMS-mRNA	-1.11	0.529	-2.15	-0.0756	0.463	0.226	0.949	0.103	0.239	lm.nb	Cell Cycle, Nucleotide Synthesis	NM_001071.2:1110
LAMC1-mRNA	-0.305	0.145	-0.59	-0.0203	0.809	0.664	0.986	0.104	0.239	lm.nb	PI3K	NM_002293.3:4915
CCNA2-mRNA	-0.952	0.454	-1.84	-0.0624	0.517	0.279	0.958	0.104	0.239	lm.nb	AMPK, Cell Cycle, DNA Damage Repair, Myc	NM_001237.2:1210
ZNF708-mRNA	-0.287	0.137	-0.555	-0.0187	0.82	0.681	0.987	0.104	0.239	loglinear	Transcriptional Regulation	NM_021269.2:488
PLK1-mRNA	-0.655	0.318	-1.28	-0.0323	0.635	0.412	0.978	0.108	0.248	lm.nb	Cell Cycle	NM_005030.3:535
PTEN-mRNA	-0.583	0.29	-1.15	-0.0144	0.667	0.45	0.99	0.115	0.262	lm.nb	Autophagy, PI3K, mTOR, p53 Pathway	NM_000314.3:1675
COX7C-mRNA	-0.214	0.107	-0.423	-0.00486	0.862	0.746	0.997	0.115	0.262	loglinear	Mitochondrial Respiration, p53 Pathway	NM_001867.2:57
ZNF253-mRNA	-0.466	0.234	-0.924	-0.0077	0.724	0.527	0.995	0.117	0.264	loglinear	Transcriptional Regulation	NM_021047.2:1327
GPS1-mRNA	-0.236	0.12	-0.472	-7.01e-4	0.849	0.721	1	0.121	0.27	loglinear	DNA Damage Repair, Endocytosis	NM_004127.4:605
SLC1A5-mRNA	-0.312	0.159	-0.624	-7.45e-4	0.805	0.649	0.999	0.121	0.27	lm.nb	Amino Acid Transporters	NM_001145144.1:180
HLA-DRB1-mRNA	0.232	0.118	4.17e-4	0.464	1.17	1	1.38	0.121	0.27	loglinear	Antigen Presentation, Cytokine & Chemokine Signaling	NM_002124.3:1016
FDX1-mRNA	0.575	0.297	-0.00775	1.16	1.49	0.995	2.23	0.125	0.278	lm.nb	KEAP1NRF2 Pathway, Reactive Oxygen Response	NM_004109.4:618
CAB39-mRNA	0.523	0.272	-0.00992	1.06	1.44	0.993	2.08	0.127	0.28	lm.nb	AMPK, mTOR	NM_001130849.1:1238
SMAD2-mRNA	-0.182	0.0949	-0.368	0.00395	0.881	0.775	1	0.128	0.28	loglinear	Cell Cycle, Endocytosis	NM_005901.5:1678
MAP2K1-mRNA	0.588	0.309	-0.0178	1.19	1.5	0.988	2.29	0.13	0.284	lm.nb	Autophagy, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, TLR Signaling, mTOR	NM_002755.2:970
NDUFS7-mRNA	-0.426	0.225	-0.867	0.0146	0.744	0.548	1.01	0.131	0.285	lm.nb	Mitochondrial Respiration	NM_024407.4:376
PTGS1-mRNA	0.406	0.215	-0.0158	0.827	1.32	0.989	1.77	0.132	0.287	lm.nb	Reactive Oxygen Response	NM_000962.2:700
GMPS-mRNA	-0.645	0.345	-1.32	0.0305	0.639	0.4	1.02	0.135	0.291	lm.nb	Nucleotide Synthesis	NM_003875.2:385
TLR4-mRNA	0.705	0.379	-0.037	1.45	1.63	0.975	2.73	0.136	0.293	lm.nb	Antigen Presentation, NF-kB, PI3K, TLR Signaling	NM_138554.2:2570
GNS-mRNA	0.634	0.341	-0.0353	1.3	1.55	0.976	2.47	0.137	0.293	lm.nb	Lysosomal Degradation	NM_002076.3:1340
PPM1A-mRNA	-0.188	0.102	-0.388	0.011	0.878	0.764	1.01	0.138	0.294	loglinear	MAPK, mTOR	NM_021003.4:550
MAP2K3-mRNA	-0.288	0.156	-0.594	0.0175	0.819	0.663	1.01	0.138	0.294	lm.nb	Cytokine & Chemokine Signaling, MAPK, TLR Signaling	NM_145109.1:370
RB1CC1-mRNA	-0.133	0.0724	-0.275	0.00856	0.912	0.826	1.01	0.139	0.295	loglinear	Autophagy	NM_001083617.1:1860
UBE2C-mRNA	-1.07	0.582	-2.21	0.0719	0.477	0.216	1.05	0.14	0.295	lm.nb	Antigen Presentation, Cell Cycle	NM_007019.2:561
PSAT1-mRNA	0.358	0.195	-0.0245	0.741	1.28	0.983	1.67	0.14	0.295	lm.nb	Amino Acid Synthesis, Glutamine Metabolism	NM_021154.3:1445
LAMTOR4-mRNA	-0.31	0.169	-0.642	0.0223	0.807	0.641	1.02	0.142	0.295	lm.nb	Autophagy, mTOR, p53 Pathway	NM_001008395.2:494
HJURP-mRNA	-1.23	0.685	-2.58	0.109	0.425	0.168	1.08	0.146	0.304	lm.nb	Cell Cycle	NM_018410.3:1325
PRKAB2-mRNA	0.316	0.176	-0.0294	0.661	1.24	0.98	1.58	0.147	0.305	loglinear	AMPK, Autophagy, Fatty Acid Oxidation, Mitochondrial Respiration, mTOR, p53 Pathway	NM_005399.3:1600
MKI67-mRNA	-0.839	0.471	-1.76	0.0844	0.559	0.295	1.06	0.15	0.308	lm.nb	Cell Cycle	NM_002417.2:4020
CD4-mRNA	-0.403	0.228	-0.849	0.0435	0.756	0.555	1.03	0.152	0.311	lm.nb	Cytokine & Chemokine Signaling, Endocytosis, TCR & Costimulatory Signaling	NM_000616.4:975
CTSD-mRNA	0.391	0.223	-0.0454	0.828	1.31	0.969	1.77	0.154	0.315	lm.nb	Antigen Presentation, Autophagy, Lysosomal Degradation	NM_001909.3:1495
SOS1-mRNA	0.276	0.159	-0.0361	0.589	1.21	0.975	1.5	0.158	0.322	loglinear	Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_005633.2:1635
BUB1B-mRNA	-1.11	0.644	-2.37	0.151	0.463	0.193	1.11	0.16	0.324	lm.nb	Cell Cycle	NM_001211.4:835
SLC16A3-mRNA	0.346	0.201	-0.0481	0.74	1.27	0.967	1.67	0.16	0.324	lm.nb	Mitochondrial Respiration	NM_004207.2:370
EFNA4-mRNA	-0.124	0.0721	-0.265	0.0179	0.918	0.832	1.01	0.162	0.325	loglinear	MAPK, PI3K	NM_005227.2:380
HK3-mRNA	1.3	0.763	-0.196	2.8	2.46	0.873	6.94	0.164	0.325	lm.nb	Glycolysis	NM_002115.1:495
PRIM2-mRNA	-0.23	0.135	-0.494	0.0346	0.853	0.71	1.02	0.164	0.325	loglinear	Cell Cycle, Nucleotide Synthesis	NM_001282488.1:124
CD36-mRNA	-0.317	0.186	-0.682	0.0479	0.803	0.623	1.03	0.164	0.325	lm.nb	AMPK, Antigen Presentation, Cytokine & Chemokine Signaling, TLR Signaling	NM_000072.3:707
CTPS1-mRNA	-0.653	0.387	-1.41	0.105	0.636	0.376	1.08	0.166	0.325	lm.nb	Nucleotide Synthesis	NM_001301237.1:580
ATG101-mRNA	0.322	0.191	-0.052	0.696	1.25	0.965	1.62	0.167	0.325	lm.nb	Autophagy	NM_021934.4:939
TXN2-mRNA	-0.223	0.132	-0.482	0.0361	0.857	0.716	1.03	0.167	0.325	lm.nb	Reactive Oxygen Response	NM_012473.3:192
BCL2L1-mRNA	0.78	0.463	-0.128	1.69	1.72	0.915	3.22	0.167	0.325	lm.nb	Autophagy, Cytokine & Chemokine Signaling, NF-kB, PI3K	NM_138578.1:1560
STK11-mRNA	-0.268	0.159	-0.581	0.044	0.83	0.669	1.03	0.167	0.325	lm.nb	AMPK, Autophagy, PI3K, mTOR	NM_000455.4:2060
MAT2A-mRNA	0.426	0.253	-0.0703	0.923	1.34	0.952	1.9	0.168	0.325	lm.nb	Amino Acid Synthesis	NM_005911.4:805
MAPKAP1-mRNA	-0.255	0.152	-0.553	0.0424	0.838	0.681	1.03	0.168	0.325	lm.nb	mTOR	NM_001006617.1:1188
GSK3B-mRNA	-0.165	0.0982	-0.357	0.0276	0.892	0.781	1.02	0.169	0.325	loglinear	Cell Cycle, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_002093.2:925
GAD1-mRNA	-0.365	0.219	-0.794	0.064	0.777	0.577	1.05	0.171	0.327	lm.nb	Amino Acid Synthesis	NM_000817.2:575
NCAPH-mRNA	-0.787	0.473	-1.71	0.14	0.58	0.305	1.1	0.171	0.327	lm.nb	Cell Cycle	NM_015341.3:1550
ALDOA-mRNA	0.293	0.176	-0.0523	0.639	1.23	0.964	1.56	0.172	0.327	lm.nb	Glycolysis, Pentose Phosphate Pathway	NM_184041.2:1455
NDUFB8-mRNA	-0.207	0.125	-0.451	0.0375	0.867	0.732	1.03	0.172	0.327	loglinear	Mitochondrial Respiration	NM_001284367.1:204
TK2-mRNA	-0.209	0.127	-0.458	0.0387	0.865	0.728	1.03	0.173	0.328	loglinear	Nucleotide Salvage, Nucleotide Synthesis	NM_004614.3:2165
CLSPN-mRNA	-0.75	0.456	-1.64	0.144	0.595	0.32	1.1	0.175	0.33	lm.nb	Cell Cycle, DNA Damage Repair	NM_022111.2:442
CDCA8-mRNA	-0.882	0.538	-1.94	0.173	0.543	0.261	1.13	0.177	0.331	lm.nb	Cell Cycle	NM_018101.2:1665
MTOR-mRNA	-0.31	0.189	-0.681	0.0611	0.807	0.624	1.04	0.177	0.331	lm.nb	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, mTOR, p53 Pathway	NM_004958.3:1865
GTSE1-mRNA	-1.09	0.669	-2.4	0.218	0.469	0.189	1.16	0.178	0.331	lm.nb	Cell Cycle	NM_016426.5:305
PDK1-mRNA	-0.594	0.364	-1.31	0.12	0.662	0.404	1.09	0.178	0.331	lm.nb	Mitochondrial Respiration	NM_002610.3:1170
CCNA1-mRNA	0.59	0.368	-0.132	1.31	1.51	0.913	2.48	0.184	0.341	lm.nb	AMPK, Cell Cycle, DNA Damage Repair	NM_003914.3:1605
PCK2-mRNA	0.32	0.201	-0.0742	0.714	1.25	0.95	1.64	0.187	0.343	lm.nb	AMPK, Glycolysis, PI3K	NM_004563.2:795
NDUFB4-mRNA	-0.155	0.0975	-0.346	0.0361	0.898	0.787	1.03	0.187	0.343	loglinear	Mitochondrial Respiration, Reactive Oxygen Response	NM_004547.4:254
EZH2-mRNA	-0.543	0.343	-1.22	0.13	0.686	0.43	1.09	0.189	0.345	lm.nb	Amino Acid Synthesis, Epigenetic Regulation	NM_001203247.1:1121
EPC1-mRNA	0.141	0.0896	-0.0342	0.317	1.1	0.977	1.25	0.19	0.345	loglinear	Epigenetic Regulation	NM_025209.2:1615
NDUFA13-mRNA	-0.159	0.101	-0.358	0.0394	0.895	0.78	1.03	0.191	0.347	loglinear	Mitochondrial Respiration	NM_015965.6:167
MAP1LC3B-mRNA	0.197	0.126	-0.0504	0.445	1.15	0.966	1.36	0.194	0.35	loglinear	Autophagy	NM_022818.4:1685
BUB1-mRNA	-0.547	0.352	-1.24	0.142	0.684	0.424	1.1	0.194	0.35	lm.nb	Cell Cycle	NM_004336.3:1978
TPX2-mRNA	-0.7	0.45	-1.58	0.182	0.616	0.334	1.13	0.195	0.35	lm.nb	Cell Cycle	NM_012112.4:2975
PLCG1-mRNA	-0.469	0.304	-1.06	0.126	0.723	0.478	1.09	0.197	0.353	lm.nb	Cytokine & Chemokine Signaling, NF-kB, TCR & Costimulatory Signaling	NM_002660.2:2290
HEXA-mRNA	0.219	0.142	-0.0597	0.497	1.16	0.959	1.41	0.198	0.354	lm.nb	Lysosomal Degradation	NM_000520.4:702
HSPE1-mRNA	-0.346	0.226	-0.789	0.098	0.787	0.579	1.07	0.201	0.358	lm.nb	Myc	NM_002157.2:607
RPS6KA1-mRNA	0.181	0.119	-0.053	0.415	1.13	0.964	1.33	0.204	0.361	loglinear	Cytokine & Chemokine Signaling, MAPK, TLR Signaling, mTOR	NM_002953.3:2000
TLR7-mRNA	1.6	1.01	-0.374	3.57	3.03	0.771	11.9	0.211	0.369	Wald	TLR Signaling	NM_016562.3:4120
PDCD1LG2-mRNA	2.8	1.77	-0.659	6.26	6.97	0.633	76.6	0.211	0.369	Wald	TCR & Costimulatory Signaling	NM_025239.3:235
SERINC2-mRNA	-0.308	0.207	-0.715	0.0982	0.808	0.609	1.07	0.211	0.369	loglinear	Glutamine Metabolism	NM_018565.3:795
ATP6V1F-mRNA	0.255	0.172	-0.0815	0.592	1.19	0.945	1.51	0.212	0.369	lm.nb	Mitochondrial Respiration, mTOR	NM_001198909.1:673
AKT1-mRNA	0.175	0.119	-0.0575	0.408	1.13	0.961	1.33	0.214	0.371	loglinear	AMPK, Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, Reactive Oxygen Response, TCR & Costimulatory Signaling, Vitamin & Cofactor Metabolism, mTOR, p53 Pathway	NM_001014431.1:758
GUSB-mRNA	0.323	0.219	-0.106	0.752	1.25	0.929	1.68	0.214	0.371	lm.nb	Lysosomal Degradation	NM_000181.3:1899
SCD-mRNA	-0.257	0.175	-0.6	0.0852	0.837	0.66	1.06	0.215	0.371	lm.nb	AMPK, Fatty Acid Synthesis	NM_005063.4:2025
UCK1-mRNA	-0.2	0.137	-0.469	0.0683	0.87	0.722	1.05	0.218	0.372	loglinear	Nucleotide Salvage, Nucleotide Synthesis	NM_031432.3:232
COX5A-mRNA	0.406	0.278	-0.138	0.949	1.32	0.909	1.93	0.218	0.372	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_004255.3:315
RPS6KB1-mRNA	-0.223	0.152	-0.521	0.076	0.857	0.697	1.05	0.218	0.372	lm.nb	AMPK, Autophagy, PI3K, mTOR	NM_003161.2:310
MYBL2-mRNA	-0.717	0.492	-1.68	0.247	0.608	0.312	1.19	0.219	0.373	lm.nb	Cell Cycle, Transcriptional Regulation	NM_002466.2:445
H6PD-mRNA	0.211	0.145	-0.074	0.495	1.16	0.95	1.41	0.221	0.374	loglinear	Pentose Phosphate Pathway	NM_004285.3:7250
WDR45-mRNA	0.425	0.294	-0.152	1	1.34	0.9	2	0.222	0.376	lm.nb	Autophagy	NM_007075.3:1390
BRCA1-mRNA	-0.502	0.35	-1.19	0.184	0.706	0.439	1.14	0.225	0.379	lm.nb	Cell Cycle, DNA Damage Repair, PI3K	NM_007294.3:787
CDCA5-mRNA	-0.886	0.619	-2.1	0.327	0.541	0.233	1.25	0.226	0.379	lm.nb	Cell Cycle	NM_080668.3:308
IDH1-mRNA	-0.356	0.25	-0.846	0.133	0.781	0.557	1.1	0.226	0.379	lm.nb	IDH12 Activity, Reactive Oxygen Response, Vitamin & Cofactor Metabolism	NM_005896.3:418
HEXB-mRNA	0.196	0.137	-0.0735	0.465	1.15	0.95	1.38	0.227	0.38	lm.nb	Lysosomal Degradation	NM_000521.3:950
LAT-mRNA	-0.426	0.303	-1.02	0.168	0.744	0.493	1.12	0.232	0.387	lm.nb	NF-kB, TCR & Costimulatory Signaling	NM_001014987.1:1290
ERCC6-mRNA	-0.194	0.141	-0.47	0.0824	0.874	0.722	1.06	0.241	0.4	loglinear	DNA Damage Repair, Reactive Oxygen Response	NM_001277058.1:200
HK1-mRNA	0.111	0.0807	-0.0476	0.269	1.08	0.968	1.2	0.243	0.401	loglinear	Glycolysis	NM_000188.2:3355
FANCA-mRNA	-0.748	0.55	-1.83	0.33	0.595	0.282	1.26	0.246	0.404	lm.nb	DNA Damage Repair	NM_000135.2:798
KAT6A-mRNA	-0.233	0.172	-0.569	0.104	0.851	0.674	1.07	0.247	0.405	lm.nb	Epigenetic Regulation	NM_001099412.1:550
ARID1A-mRNA	-0.291	0.219	-0.72	0.138	0.817	0.607	1.1	0.254	0.416	lm.nb	Epigenetic Regulation	NM_006015.4:5495
FABP5-mRNA	0.648	0.49	-0.312	1.61	1.57	0.805	3.05	0.256	0.418	lm.nb	Fatty Acid Synthesis	NM_001444.1:100
DERA-mRNA	-0.196	0.149	-0.488	0.0973	0.873	0.713	1.07	0.261	0.423	lm.nb	Pentose Phosphate Pathway	NM_015954.2:960
ATOX1-mRNA	0.253	0.194	-0.126	0.633	1.19	0.916	1.55	0.261	0.423	lm.nb	Reactive Oxygen Response	NM_004045.3:143
FANCI-mRNA	-0.62	0.476	-1.55	0.313	0.651	0.341	1.24	0.263	0.424	lm.nb	DNA Damage Repair	NM_001113378.1:541
VPS28-mRNA	-0.228	0.176	-0.573	0.117	0.854	0.672	1.08	0.265	0.426	lm.nb	Endocytosis	NM_016208.3:416
REST-mRNA	-0.16	0.124	-0.403	0.0828	0.895	0.756	1.06	0.266	0.426	loglinear	Epigenetic Regulation, Transcriptional Regulation	NM_001193508.1:1140
ARF5-mRNA	-0.247	0.192	-0.623	0.128	0.842	0.649	1.09	0.266	0.426	lm.nb	Endocytosis	NM_001662.2:36
RBBP5-mRNA	-0.176	0.138	-0.447	0.0937	0.885	0.734	1.07	0.27	0.428	loglinear	Epigenetic Regulation	NM_005057.2:325
EHHADH-mRNA	-0.453	0.354	-1.15	0.241	0.73	0.452	1.18	0.27	0.428	lm.nb	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_001166415.1:2022
RPTOR-mRNA	-0.267	0.209	-0.677	0.142	0.831	0.625	1.1	0.27	0.428	lm.nb	AMPK, Autophagy, PI3K, mTOR, p53 Pathway	NM_020761.2:6665
ARID1B-mRNA	-0.182	0.143	-0.461	0.0978	0.882	0.726	1.07	0.272	0.429	loglinear	Epigenetic Regulation	NM_020732.3:6335
FOXM1-mRNA	-0.85	0.675	-2.17	0.473	0.555	0.222	1.39	0.276	0.435	lm.nb	Cell Cycle, Transcriptional Regulation	NM_202002.1:1000
CD63-mRNA	0.369	0.298	-0.215	0.952	1.29	0.862	1.94	0.283	0.444	lm.nb	Lysosomal Degradation	NM_001780.4:350
GPX4-mRNA	-0.131	0.107	-0.34	0.0775	0.913	0.79	1.06	0.285	0.446	loglinear	Reactive Oxygen Response	NM_001039847.1:435
CD209-mRNA	1.2	0.935	-0.627	3.04	2.3	0.647	8.21	0.288	0.449	Wald	NA	NM_001144899.1:950
KYAT3-mRNA	0.206	0.169	-0.126	0.537	1.15	0.917	1.45	0.291	0.452	lm.nb	Amino Acid Synthesis, TryptophanKynurenine Metabolism	NM_001008661.2:1445
KMT2E-mRNA	0.265	0.222	-0.169	0.7	1.2	0.889	1.62	0.297	0.461	lm.nb	Amino Acid Synthesis, Epigenetic Regulation, Transcriptional Regulation	NM_018682.3:1541
