Gene	Log2 fold change	P-value	BH.p.value	Gene.sets
PTGES	-3.95	0.363	0.549	Glutamine Metabolism
RPIA	-0.222	0.377	0.567	Pentose Phosphate Pathway
CD274	2.06	0.379	0.568	TCR & Costimulatory Signaling
HSD11B1	1.86	0.385	0.572	NA
EPC1	0.121	0.385	0.572	Epigenetic Regulation
HLA-A	-0.314	0.384	0.572	Antigen Presentation, Cytokine & Chemokine Signaling, Endocytosis
RBKS	0.507	0.39	0.576	Pentose Phosphate Pathway
RUNX1	-0.134	0.389	0.576	Transcriptional Regulation
AMPD3	-0.377	0.391	0.577	Nucleotide Salvage, Nucleotide Synthesis
LAMC1	0.14	0.393	0.578	PI3K
GNS	0.3	0.396	0.58	Lysosomal Degradation
NDUFA13	-0.118	0.4	0.585	Mitochondrial Respiration
CD68	0.32	0.407	0.59	Lysosomal Degradation
COX5B	0.218	0.406	0.59	Mitochondrial Respiration, p53 Pathway
TXNRD1	-0.213	0.405	0.59	p53 Pathway
PHGDH	0.131	0.409	0.592	Amino Acid Synthesis, Glutamine Metabolism
DGUOK	-0.267	0.411	0.592	Nucleotide Salvage, Nucleotide Synthesis
CDCA8	0.691	0.413	0.594	Cell Cycle
KAT6A	0.124	0.418	0.598	Epigenetic Regulation
FBP1	-1.81	0.417	0.598	AMPK, Glycolysis, Pentose Phosphate Pathway
CBL	0.147	0.42	0.599	Cytokine & Chemokine Signaling, Endocytosis
NDUFA3	0.166	0.423	0.601	Mitochondrial Respiration
GOT1	-0.211	0.427	0.605	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism
MAPKAP1	-0.214	0.428	0.605	mTOR
HMOX1	0.49	0.431	0.606	Cytokine & Chemokine Signaling, KEAP1NRF2 Pathway, Reactive Oxygen Response
UQCR10	-0.191	0.431	0.606	Mitochondrial Respiration
KMT2A	-0.193	0.435	0.61	Amino Acid Synthesis, Epigenetic Regulation, Transcriptional Regulation
ITGAM	0.271	0.439	0.614	Cytokine & Chemokine Signaling, TLR Signaling
TYMS	0.644	0.446	0.622	Cell Cycle, Nucleotide Synthesis
CAD	0.211	0.451	0.628	Amino Acid Synthesis, Myc, Nucleotide Synthesis
RPL23	0.186	0.454	0.63	Myc
NFKB1	0.136	0.46	0.636	Cytokine & Chemokine Signaling, Epigenetic Regulation, MAPK, NF-kB, PI3K, TCR & Costimulatory Signaling, TLR Signaling, Transcriptional Regulation
MRAS	-0.13	0.47	0.648	Autophagy, MAPK
PDP1	0.155	0.471	0.649	Mitochondrial Respiration
ASH1L	-0.102	0.477	0.653	Amino Acid Synthesis, Epigenetic Regulation
SERINC2	-0.16	0.476	0.653	Glutamine Metabolism
RANBP2	-0.11	0.484	0.661	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis
TFAM	-0.146	0.485	0.661	Mitochondrial Respiration
BUB1B	0.577	0.489	0.665	Cell Cycle
ARID2	0.179	0.505	0.685	Epigenetic Regulation
PTGS1	0.272	0.513	0.694	Reactive Oxygen Response
S100A12	-2.58	0.514	0.694	Cytokine & Chemokine Signaling, TLR Signaling
CD244	0.459	0.518	0.695	NA
ATG2B	-0.133	0.518	0.695	Autophagy
ADORA2A	-1.02	0.524	0.7	TCR & Costimulatory Signaling
NCR1	-2.05	0.524	0.7	NA
CDCA5	1.49	0.53	0.706	Cell Cycle
VPS28	-0.136	0.544	0.723	Endocytosis
NDUFB7	0.0893	0.55	0.729	Mitochondrial Respiration
MAP1LC3B	0.0697	0.552	0.729	Autophagy
ZNF93	3.38	0.554	0.731	Transcriptional Regulation
PTGS2	-1.94	0.556	0.731	Cytokine & Chemokine Signaling, NF-kB, Reactive Oxygen Response, Vitamin & Cofactor Metabolism
COX4I1	-0.086	0.563	0.736	Mitochondrial Respiration, p53 Pathway
NDUFB1	-0.147	0.561	0.736	Mitochondrial Respiration
KIF2C	0.547	0.565	0.738	Antigen Presentation, Cell Cycle
XRCC2	1.22	0.574	0.747	DNA Damage Repair
ALOX15	1.03	0.577	0.749	Cytokine & Chemokine Signaling
ASL	0.0867	0.581	0.753	Amino Acid Synthesis, Arginine Metabolism, IDH12 Activity
TXN2	-0.0849	0.593	0.762	Reactive Oxygen Response
ACOX1	-0.108	0.592	0.762	Fatty Acid Oxidation
ATG101	-0.125	0.592	0.762	Autophagy
SREBF1	-0.195	0.595	0.763	AMPK, Transcriptional Regulation
NDUFA7	-0.106	0.599	0.767	Mitochondrial Respiration
PDK2	-0.137	0.601	0.767	Mitochondrial Respiration
COPS6	-0.0748	0.604	0.768	DNA Damage Repair, Endocytosis
PIK3R2	-0.109	0.61	0.775	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR
MPC1	0.165	0.618	0.781	Mitochondrial Respiration
ACAP2	-0.0704	0.616	0.781	Endocytosis
ARPC4	0.107	0.626	0.789	Endocytosis
NADK	0.159	0.635	0.798	Vitamin & Cofactor Metabolism
SMAD4	-0.0478	0.636	0.798	Cell Cycle
UBE2T	-0.199	0.641	0.802	DNA Damage Repair
GPS1	-0.0686	0.643	0.803	DNA Damage Repair, Endocytosis
PDCD1LG2	1.13	0.654	0.815	TCR & Costimulatory Signaling
PYCR3	-1.1	0.656	0.815	Amino Acid Synthesis, Glutamine Metabolism
GTSE1	0.817	0.674	0.836	Cell Cycle
PRKAA1	0.0642	0.681	0.843	AMPK, Autophagy, PI3K, mTOR, p53 Pathway
HAAO	0.067	0.687	0.848	TryptophanKynurenine Metabolism
RRM2	-0.301	0.699	0.86	Cell Cycle, Nucleotide Synthesis
ZNF253	2.92	0.709	0.869	Transcriptional Regulation
CS	0.0695	0.709	0.869	Mitochondrial Respiration
NSD1	-0.0651	0.716	0.873	Amino Acid Synthesis, Epigenetic Regulation
PTEN	-0.119	0.716	0.873	Autophagy, PI3K, mTOR, p53 Pathway
UCK1	-0.0587	0.724	0.88	Nucleotide Salvage, Nucleotide Synthesis
SLC16A3	-0.0481	0.73	0.886	Mitochondrial Respiration
FOXM1	0.815	0.737	0.893	Cell Cycle, Transcriptional Regulation
ITGB2	0.0795	0.75	0.9	Cytokine & Chemokine Signaling, TLR Signaling
PTGER4	0.043	0.747	0.9	NA
IDH2	0.0353	0.745	0.9	IDH12 Activity, Mitochondrial Respiration
KMT2E	-0.0746	0.75	0.9	Amino Acid Synthesis, Epigenetic Regulation, Transcriptional Regulation
MKI67	0.655	0.755	0.904	Cell Cycle
EXO1	0.944	0.758	0.905	Cell Cycle, DNA Damage Repair
TK2	0.0392	0.76	0.906	Nucleotide Salvage, Nucleotide Synthesis
IDNK	0.948	0.769	0.914	Pentose Phosphate Pathway
TK1	0.893	0.771	0.914	Cell Cycle, Nucleotide Salvage, Nucleotide Synthesis
CDC20	0.216	0.778	0.921	Antigen Presentation, Cell Cycle
CTCF	0.0459	0.78	0.921	IDH12 Activity
BTK	0.076	0.79	0.927	Antigen Presentation, NF-kB, TLR Signaling
IMPDH2	0.0751	0.787	0.927	Nucleotide Synthesis
PIK3R4	-0.0467	0.79	0.927	Autophagy, TLR Signaling
SREBF2	-0.0408	0.793	0.928	Transcriptional Regulation
BRCA1	1.1	0.798	0.93	Cell Cycle, DNA Damage Repair, PI3K
UQCR11	-0.853	0.797	0.93	Mitochondrial Respiration
NDUFA4	-0.0637	0.816	0.949	Mitochondrial Respiration, p53 Pathway
ZNF43	0.0798	0.819	0.951	Transcriptional Regulation
ACMSD	-2.71	0.834	0.965	TryptophanKynurenine Metabolism
RPS6KB2	0.0515	0.837	0.967	AMPK, Autophagy, PI3K, mTOR
EME1	0.722	0.846	0.973	DNA Damage Repair
ASS1	0.0617	0.85	0.973	Amino Acid Synthesis, Arginine Metabolism, IDH12 Activity
PRDX5	0.0506	0.85	0.973	Reactive Oxygen Response
PRKAG2	-0.0537	0.849	0.973	AMPK, Autophagy, Fatty Acid Oxidation, Mitochondrial Respiration, mTOR, p53 Pathway
ATF4	-0.0254	0.859	0.978	MAPK, PI3K, Transcriptional Regulation
NUP205	-0.0269	0.862	0.978	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis
PDGFB	-0.391	0.861	0.978	Cytokine & Chemokine Signaling, MAPK, PI3K
KIR3DL1/2	-0.485	0.857	0.978	NA
DTL	0.56	0.869	0.981	DNA Damage Repair
NEDD8	0.0402	0.868	0.981	Endocytosis
NDUFB8	-0.0229	0.87	0.981	Mitochondrial Respiration
ZNF708	1.88	0.884	0.986	Transcriptional Regulation
CPS1	1.84	0.887	0.986	Amino Acid Synthesis, Arginine Metabolism
PNOC	0.243	0.881	0.986	NA
ATP5ME	0.0351	0.887	0.986	Mitochondrial Respiration
ACAT1	-0.0252	0.887	0.986	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism
PPARG	-0.0292	0.887	0.986	AMPK, Transcriptional Regulation
PLK1	-0.0509	0.886	0.986	Cell Cycle
PUDP	-0.592	0.892	0.988	Nucleotide Salvage
LDHB	-0.0386	0.895	0.99	Amino Acid Synthesis, Glycolysis, Mitochondrial Respiration
IL21R	-0.249	0.901	0.994	Cytokine & Chemokine Signaling
ZNF100	1.42	0.912	0.998	Transcriptional Regulation
MAPK8	-0.011	0.908	0.998	Autophagy, Cytokine & Chemokine Signaling, DNA Damage Repair, MAPK, TLR Signaling
CDK9	-0.0115	0.912	0.998	Nucleotide Synthesis
STAT6	-0.0311	0.912	0.998	Cytokine & Chemokine Signaling, Transcriptional Regulation
ASNS	1.03	0.919	0.999	Amino Acid Synthesis, Glutamine Metabolism
BRCA2	1.03	0.936	0.999	Cell Cycle, DNA Damage Repair
KLRD1	0.868	0.946	0.999	NA
TP53	0.725	0.953	0.999	Cell Cycle, Cytokine & Chemokine Signaling, DNA Damage Repair, MAPK, Myc, PI3K, Transcriptional Regulation, p53 Pathway
AMDHD1	0.522	0.952	0.999	Amino Acid Synthesis
GAD1	0.397	0.96	0.999	Amino Acid Synthesis
SLC27A1	0.396	0.975	0.999	Amino Acid Transporters
TELO2	0.289	0.961	0.999	mTOR
LTB	0.258	0.974	0.999	Cytokine & Chemokine Signaling, NF-kB
WRN	0.146	0.978	0.999	Cell Cycle, DNA Damage Repair, Reactive Oxygen Response
PRR5	0.144	0.979	0.999	mTOR
PCLAF	0.0973	0.966	0.999	DNA Damage Repair
CCL4	0.0753	0.94	0.999	Cytokine & Chemokine Signaling, NF-kB
NAALAD2	0.0558	0.997	0.999	Glutamine Metabolism
UMPS	0.0474	0.997	0.999	Nucleotide Synthesis
RIMKLB	0.0338	0.998	0.999	Amino Acid Synthesis, Glutamine Metabolism
GLS	0.0259	0.919	0.999	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism, p53 Pathway
KYAT3	0.0224	0.92	0.999	Amino Acid Synthesis, TryptophanKynurenine Metabolism
BCL2L1	0.0156	0.974	0.999	Autophagy, Cytokine & Chemokine Signaling, NF-kB, PI3K
NME2	0.0054	0.979	0.999	Myc, Nucleotide Synthesis
ERCC6	2.28e-4	0.999	0.999	DNA Damage Repair, Reactive Oxygen Response
COX6A1	-0.00996	0.972	0.999	Mitochondrial Respiration, p53 Pathway
SLC7A11	-0.0149	0.985	0.999	Amino Acid Transporters, Reactive Oxygen Response
MAPK1	-0.0156	0.928	0.999	Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, TLR Signaling, mTOR
CYBB	-0.0366	0.942	0.999	Antigen Presentation
NRF1	-0.0512	0.997	0.999	Mitochondrial Respiration
ACACB	-0.0565	0.995	0.999	AMPK, Fatty Acid Synthesis, Vitamin & Cofactor Metabolism
AFMID	-0.0794	0.995	0.999	TryptophanKynurenine Metabolism
PFKM	-0.0995	0.994	0.999	AMPK, Glycolysis, Pentose Phosphate Pathway
IL6	-0.115	0.971	0.999	Cytokine & Chemokine Signaling, PI3K
CYP1A1	-0.128	0.931	0.999	TryptophanKynurenine Metabolism
SLC16A13	-0.16	0.986	0.999	Amino Acid Transporters
MAP3K12	-0.226	0.986	0.999	MAPK
L2HGDH	-0.242	0.985	0.999	IDH12 Activity, Mitochondrial Respiration
NAT8L	-0.275	0.983	0.999	Amino Acid Synthesis, Glutamine Metabolism
D2HGDH	-0.287	0.982	0.999	IDH12 Activity, Mitochondrial Respiration
SELENOK	-0.393	0.933	0.999	Reactive Oxygen Response
APOM	-0.398	0.923	0.999	Vitamin & Cofactor Metabolism
PIK3R3	-0.46	0.971	0.999	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR
NDC1	-0.545	0.966	0.999	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis
CTSW	-0.548	0.966	0.999	Lysosomal Degradation
SLC6A12	-0.587	0.964	0.999	Amino Acid Transporters
MYCL	-0.695	0.957	0.999	Transcriptional Regulation
NT5E	-0.704	0.956	0.999	Nucleotide Synthesis, Vitamin & Cofactor Metabolism
NOD2	-0.953	0.941	0.999	Cytokine & Chemokine Signaling, TLR Signaling
