...1	Log2 fold change	std error (log2)	Lower confidence limit (log2)	Upper confidence limit (log2)	Linear fold change	Lower confidence limit (linear)	Upper confidence limit (linear)	P-value	BH.p.value	method	Gene.sets	probe.ID
SMAD3-mRNA	-0.565	0.25	-1.05	-0.0751	0.676	0.481	0.949	0.0866	0.281	lm.nb	Cell Cycle, Cytokine & Chemokine Signaling, Endocytosis	NM_005902.3:4220
NME1-mRNA	-0.525	0.235	-0.985	-0.0652	0.695	0.505	0.956	0.0888	0.286	lm.nb	Myc, Nucleotide Synthesis	NM_000269.2:500
IDH2-mRNA	-0.29	0.13	-0.545	-0.0357	0.818	0.685	0.976	0.0891	0.286	loglinear	IDH12 Activity, Mitochondrial Respiration	NM_002168.2:944
MTF1-mRNA	0.255	0.116	0.028	0.483	1.19	1.02	1.4	0.0926	0.293	loglinear	Reactive Oxygen Response	NM_005955.2:210
ERN1-mRNA	0.247	0.112	0.0271	0.468	1.19	1.02	1.38	0.0926	0.293	loglinear	Autophagy	NM_001433.2:435
DCK-mRNA	-0.433	0.198	-0.822	-0.045	0.741	0.566	0.969	0.094	0.296	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_000788.2:310
MAP2K3-mRNA	0.395	0.182	0.0378	0.753	1.32	1.03	1.69	0.0961	0.3	lm.nb	Cytokine & Chemokine Signaling, MAPK, TLR Signaling	NM_145109.1:370
PTEN-mRNA	0.507	0.234	0.0476	0.967	1.42	1.03	1.95	0.0965	0.3	lm.nb	Autophagy, PI3K, mTOR, p53 Pathway	NM_000314.3:1675
NME2-mRNA	-0.508	0.235	-0.969	-0.047	0.703	0.511	0.968	0.0969	0.3	lm.nb	Myc, Nucleotide Synthesis	NM_001018137.2:669
PSME2-mRNA	0.764	0.355	0.0678	1.46	1.7	1.05	2.75	0.0979	0.301	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002818.2:315
RPLP0-mRNA	-0.533	0.249	-1.02	-0.0458	0.691	0.493	0.969	0.0986	0.301	lm.nb	Cytokine & Chemokine Signaling	NM_001002.3:250
A2M-mRNA	-0.52	0.245	-1	-0.0399	0.697	0.5	0.973	0.101	0.304	lm.nb	Cytokine & Chemokine Signaling	NM_000014.4:1685
ADK-mRNA	-0.527	0.248	-1.01	-0.0402	0.694	0.496	0.973	0.101	0.304	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_001123.2:355
GBA-mRNA	-0.441	0.208	-0.848	-0.0332	0.737	0.556	0.977	0.101	0.304	lm.nb	Lysosomal Degradation	NM_001005742.2:1695
EFNA4-mRNA	0.376	0.178	0.0258	0.725	1.3	1.02	1.65	0.103	0.306	loglinear	MAPK, PI3K	NM_005227.2:380
TPR-mRNA	-0.427	0.203	-0.825	-0.0292	0.744	0.564	0.98	0.103	0.306	lm.nb	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis	NM_003292.2:6825
LY86-mRNA	0.681	0.325	0.0446	1.32	1.6	1.03	2.49	0.104	0.307	lm.nb	TLR Signaling	NM_004271.3:255
ZNF43-mRNA	0.33	0.161	0.0145	0.646	1.26	1.01	1.56	0.11	0.322	lm.nb	Transcriptional Regulation	NM_003423.2:3835
KMT2E-mRNA	0.292	0.143	0.0119	0.571	1.22	1.01	1.49	0.111	0.322	loglinear	Amino Acid Synthesis, Epigenetic Regulation, Transcriptional Regulation	NM_018682.3:1541
PRIM2-mRNA	0.254	0.125	0.00932	0.499	1.19	1.01	1.41	0.112	0.324	loglinear	Cell Cycle, Nucleotide Synthesis	NM_001282488.1:124
UCKL1-mRNA	-0.331	0.164	-0.653	-0.00901	0.795	0.636	0.994	0.114	0.329	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_001193379.1:825
CD36-mRNA	-0.919	0.46	-1.82	-0.0178	0.529	0.283	0.988	0.116	0.333	lm.nb	AMPK, Antigen Presentation, Cytokine & Chemokine Signaling, TLR Signaling	NM_000072.3:707
NKG7-mRNA	0.257	0.13	0.00337	0.511	1.2	1	1.43	0.118	0.336	lm.nb	NA	NM_005601.3:633
IDH3G-mRNA	-0.0966	0.0487	-0.192	-0.00108	0.935	0.875	0.999	0.119	0.336	loglinear	Mitochondrial Respiration	NM_004135.2:390
ARID1B-mRNA	-0.221	0.113	-0.443	1.41e-4	0.858	0.736	1	0.122	0.343	loglinear	Epigenetic Regulation	NM_020732.3:6335
GABARAP-mRNA	-0.15	0.0772	-0.301	0.0015	0.901	0.812	1	0.124	0.346	loglinear	Autophagy	NM_007278.1:233
GPI-mRNA	-0.192	0.0988	-0.385	0.00205	0.876	0.766	1	0.124	0.346	loglinear	Glycolysis, Pentose Phosphate Pathway, p53 Pathway	NM_000175.2:1695
GLUD1-mRNA	-0.207	0.107	-0.416	0.00247	0.866	0.749	1	0.125	0.346	loglinear	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism, Mitochondrial Respiration	NM_005271.2:2680
COX4I1-mRNA	-0.309	0.161	-0.625	0.00639	0.807	0.649	1	0.127	0.349	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_001318797.1:50
ATG101-mRNA	0.326	0.17	-0.00693	0.659	1.25	0.995	1.58	0.127	0.349	loglinear	Autophagy	NM_021934.4:939
CDK9-mRNA	0.242	0.128	-0.00876	0.492	1.18	0.994	1.41	0.132	0.359	loglinear	Nucleotide Synthesis	NM_001261.2:400
COX5A-mRNA	-0.227	0.122	-0.466	0.0113	0.854	0.724	1.01	0.135	0.367	loglinear	Mitochondrial Respiration, p53 Pathway	NM_004255.3:315
GSK3B-mRNA	-0.0217	0.0118	-0.0448	0.00138	0.985	0.969	1	0.139	0.376	loglinear	Cell Cycle, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_002093.2:925
IDH3B-mRNA	-0.193	0.106	-0.4	0.0134	0.875	0.758	1.01	0.141	0.378	loglinear	Mitochondrial Respiration	NM_001258384.1:556
H6PD-mRNA	-0.573	0.314	-1.19	0.0417	0.672	0.439	1.03	0.142	0.379	lm.nb	Pentose Phosphate Pathway	NM_004285.3:7250
FPR1-mRNA	0.798	0.442	-0.068	1.66	1.74	0.954	3.17	0.145	0.386	lm.nb	Cytokine & Chemokine Signaling	NM_002029.3:350
MAP1LC3B-mRNA	0.239	0.133	-0.022	0.501	1.18	0.985	1.41	0.147	0.389	loglinear	Autophagy	NM_022818.4:1685
HAAO-mRNA	-0.483	0.272	-1.02	0.0493	0.715	0.495	1.03	0.15	0.392	lm.nb	TryptophanKynurenine Metabolism	NM_012205.2:243
SIGLEC5-mRNA	0.535	0.301	-0.0549	1.12	1.45	0.963	2.18	0.15	0.392	lm.nb	NA	NM_003830.3:1405
GPX1-mRNA	-0.264	0.149	-0.555	0.0274	0.833	0.68	1.02	0.15	0.392	loglinear	Reactive Oxygen Response	NM_000581.2:745
ACOX1-mRNA	-0.382	0.216	-0.805	0.0409	0.767	0.572	1.03	0.151	0.392	lm.nb	Fatty Acid Oxidation	NM_004035.5:2950
RANBP2-mRNA	-0.45	0.255	-0.951	0.05	0.732	0.517	1.04	0.152	0.393	lm.nb	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis	NM_006267.4:5384
MPC2-mRNA	-0.484	0.28	-1.03	0.0647	0.715	0.489	1.05	0.159	0.408	lm.nb	Mitochondrial Respiration	NM_001143674.1:285
PTGES-mRNA	0.812	0.472	-0.112	1.74	1.76	0.925	3.33	0.16	0.409	lm.nb	Glutamine Metabolism	NM_004878.4:303
PRKAG2-mRNA	0.537	0.315	-0.0803	1.15	1.45	0.946	2.22	0.163	0.415	lm.nb	AMPK, Autophagy, Fatty Acid Oxidation, Mitochondrial Respiration, mTOR, p53 Pathway	NM_016203.3:1895
CD14-mRNA	0.492	0.293	-0.0829	1.07	1.41	0.944	2.1	0.169	0.426	lm.nb	Antigen Presentation, MAPK, NF-kB, TLR Signaling	NM_000591.2:885
NDUFB10-mRNA	-0.426	0.255	-0.925	0.0732	0.744	0.527	1.05	0.17	0.426	lm.nb	Mitochondrial Respiration	NM_004548.2:155
PRDX5-mRNA	-0.505	0.302	-1.1	0.0875	0.705	0.467	1.06	0.17	0.426	lm.nb	Reactive Oxygen Response	NM_012094.4:600
FAHD1-mRNA	-0.357	0.219	-0.787	0.0734	0.781	0.58	1.05	0.179	0.447	lm.nb	Amino Acid Synthesis, Mitochondrial Respiration	NM_031208.3:542
VHL-mRNA	0.137	0.0858	-0.0307	0.306	1.1	0.979	1.24	0.184	0.455	loglinear	Antigen Presentation, Hypoxia	NM_000551.2:1280
IDH1-mRNA	-0.172	0.108	-0.383	0.0386	0.887	0.767	1.03	0.185	0.455	loglinear	IDH12 Activity, Reactive Oxygen Response, Vitamin & Cofactor Metabolism	NM_005896.3:418
SLC7A11-mRNA	0.799	0.5	-0.181	1.78	1.74	0.882	3.43	0.185	0.455	lm.nb	Amino Acid Transporters, Reactive Oxygen Response	NM_014331.3:636
ODC1-mRNA	-0.683	0.43	-1.53	0.16	0.623	0.347	1.12	0.188	0.458	lm.nb	Amino Acid Synthesis, Myc	NM_002539.1:950
SMAD4-mRNA	0.191	0.122	-0.0475	0.43	1.14	0.968	1.35	0.192	0.463	loglinear	Cell Cycle	NM_005359.3:1370
NADK2-mRNA	-0.199	0.127	-0.448	0.0497	0.871	0.733	1.04	0.192	0.463	loglinear	Vitamin & Cofactor Metabolism	NM_153013.3:315
ACAT2-mRNA	-0.608	0.388	-1.37	0.152	0.656	0.387	1.11	0.192	0.463	lm.nb	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_005891.2:910
CAB39-mRNA	-0.0895	0.0585	-0.204	0.0251	0.94	0.868	1.02	0.201	0.481	loglinear	AMPK, mTOR	NM_001130849.1:1238
HERC1-mRNA	-0.404	0.266	-0.925	0.117	0.756	0.527	1.08	0.203	0.484	lm.nb	Antigen Presentation, Myc	NM_003922.3:300
HK3-mRNA	0.248	0.163	-0.0724	0.568	1.19	0.951	1.48	0.204	0.484	lm.nb	Glycolysis	NM_002115.1:495
MAPT-mRNA	-0.362	0.24	-0.831	0.108	0.778	0.562	1.08	0.206	0.484	lm.nb	MAPK	NM_016834.3:1205
CSF3R-mRNA	0.295	0.196	-0.0894	0.68	1.23	0.94	1.6	0.207	0.484	lm.nb	Cytokine & Chemokine Signaling, PI3K	NM_000760.3:2066
KYNU-mRNA	0.952	0.633	-0.289	2.19	1.93	0.818	4.57	0.207	0.484	lm.nb	TryptophanKynurenine Metabolism	NM_003937.2:738
MAP2K1-mRNA	0.265	0.176	-0.0809	0.61	1.2	0.945	1.53	0.208	0.484	lm.nb	Autophagy, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, TLR Signaling, mTOR	NM_002755.2:970
ZNF254-mRNA	0.358	0.241	-0.114	0.831	1.28	0.924	1.78	0.211	0.491	loglinear	Transcriptional Regulation	NM_203282.3:1986
ARID2-mRNA	-0.13	0.0899	-0.306	0.046	0.914	0.809	1.03	0.221	0.511	loglinear	Epigenetic Regulation	NM_152641.2:3355
SREBF2-mRNA	-0.328	0.23	-0.778	0.122	0.796	0.583	1.09	0.226	0.516	lm.nb	Transcriptional Regulation	NM_004599.2:665
SERINC5-mRNA	-0.196	0.137	-0.465	0.0731	0.873	0.724	1.05	0.227	0.516	loglinear	Glutamine Metabolism	NM_001174071.2:526
PTGER4-mRNA	0.253	0.177	-0.0945	0.601	1.19	0.937	1.52	0.227	0.516	loglinear	NA	NM_000958.2:976
RPS6KB1-mRNA	-0.214	0.15	-0.508	0.0802	0.862	0.703	1.06	0.227	0.516	loglinear	AMPK, Autophagy, PI3K, mTOR	NM_003161.2:310
SNF8-mRNA	-0.15	0.107	-0.36	0.0601	0.901	0.779	1.04	0.234	0.528	loglinear	Endocytosis	NM_001317192.1:234
PYCR2-mRNA	-0.171	0.122	-0.41	0.0688	0.888	0.752	1.05	0.235	0.528	loglinear	Amino Acid Synthesis, Glutamine Metabolism	NM_013328.2:1250
COX6B1-mRNA	-0.192	0.138	-0.462	0.078	0.875	0.726	1.06	0.236	0.528	lm.nb	Mitochondrial Respiration, p53 Pathway	NM_001863.4:264
CMKLR1-mRNA	0.246	0.177	-0.101	0.593	1.19	0.933	1.51	0.237	0.528	lm.nb	MAPK, PI3K	NM_004072.2:762
FDX1-mRNA	0.228	0.166	-0.0987	0.554	1.17	0.934	1.47	0.243	0.538	lm.nb	KEAP1NRF2 Pathway, Reactive Oxygen Response	NM_004109.4:618
EEA1-mRNA	-0.288	0.211	-0.702	0.125	0.819	0.615	1.09	0.243	0.538	lm.nb	Endocytosis, TLR Signaling	NM_003566.3:2035
SLC25A1-mRNA	-0.324	0.239	-0.791	0.144	0.799	0.578	1.11	0.247	0.544	lm.nb	Fatty Acid Synthesis	NM_005984.2:964
HRAS-mRNA	-0.472	0.351	-1.16	0.215	0.721	0.448	1.16	0.249	0.546	lm.nb	Autophagy, Cytokine & Chemokine Signaling, Endocytosis, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_005343.2:396
BCL2A1-mRNA	0.287	0.217	-0.139	0.713	1.22	0.908	1.64	0.257	0.561	lm.nb	NF-kB	NM_004049.2:80
NDUFA7-mRNA	-0.175	0.134	-0.437	0.0868	0.886	0.739	1.06	0.26	0.566	loglinear	Mitochondrial Respiration	NM_005001.2:373
MYB-mRNA	-1.53	1.17	-3.82	0.769	0.347	0.0708	1.7	0.262	0.568	lm.nb	PI3K, Transcriptional Regulation	NM_001130173.1:183
CTCF-mRNA	-0.177	0.137	-0.445	0.0915	0.885	0.735	1.07	0.266	0.573	loglinear	IDH12 Activity	NM_001191022.1:490
NCAPH-mRNA	-0.512	0.397	-1.29	0.266	0.701	0.409	1.2	0.267	0.573	lm.nb	Cell Cycle	NM_015341.3:1550
ASS1-mRNA	-0.314	0.252	-0.807	0.179	0.804	0.572	1.13	0.28	0.599	lm.nb	Amino Acid Synthesis, Arginine Metabolism, IDH12 Activity	NM_000050.4:1275
PTPRC-mRNA	0.373	0.304	-0.222	0.968	1.29	0.857	1.96	0.287	0.61	lm.nb	TCR & Costimulatory Signaling	NM_080923.2:154
SDSL-mRNA	0.423	0.346	-0.255	1.1	1.34	0.838	2.14	0.289	0.612	lm.nb	Amino Acid Synthesis	NM_138432.2:303
BAD-mRNA	-0.183	0.151	-0.479	0.113	0.881	0.717	1.08	0.292	0.616	loglinear	Autophagy, PI3K	NM_004322.3:652
SMAD2-mRNA	-0.105	0.0868	-0.275	0.0655	0.93	0.827	1.05	0.294	0.617	loglinear	Cell Cycle, Endocytosis	NM_005901.5:1678
MAPK8-mRNA	0.182	0.151	-0.114	0.479	1.13	0.924	1.39	0.295	0.617	lm.nb	Autophagy, Cytokine & Chemokine Signaling, DNA Damage Repair, MAPK, TLR Signaling	NM_002750.2:945
ADORA2A-mRNA	0.838	0.698	-0.529	2.21	1.79	0.693	4.61	0.296	0.617	lm.nb	TCR & Costimulatory Signaling	NM_000675.3:1095
DERA-mRNA	-0.193	0.162	-0.51	0.124	0.875	0.702	1.09	0.299	0.62	loglinear	Pentose Phosphate Pathway	NM_015954.2:960
PPM1A-mRNA	0.102	0.0861	-0.0664	0.271	1.07	0.955	1.21	0.3	0.62	loglinear	MAPK, mTOR	NM_021003.4:550
UPP1-mRNA	0.555	0.468	-0.362	1.47	1.47	0.778	2.77	0.301	0.62	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_003364.2:925
PSMA3-mRNA	0.223	0.188	-0.146	0.591	1.17	0.904	1.51	0.302	0.621	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_152132.1:465
ACAA2-mRNA	-0.177	0.151	-0.472	0.118	0.885	0.721	1.09	0.305	0.624	lm.nb	Amino Acid Synthesis, Fatty Acid Oxidation	NM_006111.2:450
NDUFA13-mRNA	-0.168	0.144	-0.45	0.115	0.89	0.732	1.08	0.31	0.631	loglinear	Mitochondrial Respiration	NM_015965.6:167
TBXAS1-mRNA	-0.34	0.294	-0.917	0.237	0.79	0.53	1.18	0.312	0.633	lm.nb	Fatty Acid Synthesis	NM_001130966.2:1030
PRPS1-mRNA	-0.129	0.113	-0.35	0.0914	0.914	0.785	1.07	0.315	0.636	loglinear	Nucleotide Synthesis, Pentose Phosphate Pathway	NM_002764.3:1081
MYBL2-mRNA	-1.25	1.11	-3.42	0.917	0.42	0.0934	1.89	0.321	0.646	lm.nb	Cell Cycle, Transcriptional Regulation	NM_002466.2:445
ITGB2-mRNA	-0.32	0.284	-0.877	0.238	0.801	0.545	1.18	0.324	0.649	lm.nb	Cytokine & Chemokine Signaling, TLR Signaling	NM_000211.2:520
PIK3R4-mRNA	-0.171	0.152	-0.469	0.128	0.888	0.722	1.09	0.325	0.649	loglinear	Autophagy, TLR Signaling	NM_014602.1:3620
NDUFA3-mRNA	-0.234	0.212	-0.649	0.181	0.851	0.638	1.13	0.332	0.66	lm.nb	Mitochondrial Respiration	NM_004542.3:75
GMPR2-mRNA	-0.103	0.0947	-0.289	0.0826	0.931	0.819	1.06	0.338	0.667	loglinear	Nucleotide Salvage, Nucleotide Synthesis	NM_001002001.2:392
SLC1A5-mRNA	-0.292	0.269	-0.82	0.236	0.817	0.566	1.18	0.339	0.667	lm.nb	Amino Acid Transporters	NM_001145144.1:180
RB1CC1-mRNA	-0.138	0.128	-0.389	0.112	0.909	0.764	1.08	0.34	0.667	loglinear	Autophagy	NM_001083617.1:1860
SLC2A14-mRNA	0.354	0.328	-0.288	0.997	1.28	0.819	2	0.341	0.667	lm.nb	Glucose Transport	NM_001286234.1:606
ARF5-mRNA	-0.239	0.223	-0.675	0.198	0.847	0.626	1.15	0.344	0.667	lm.nb	Endocytosis	NM_001662.2:36
NFAT5-mRNA	0.397	0.37	-0.329	1.12	1.32	0.796	2.18	0.344	0.667	lm.nb	Transcriptional Regulation	NM_173214.1:3290
NDUFS8-mRNA	-0.377	0.352	-1.07	0.313	0.77	0.477	1.24	0.345	0.667	lm.nb	Mitochondrial Respiration, Reactive Oxygen Response	NM_002496.3:190
PDP1-mRNA	-0.207	0.195	-0.588	0.175	0.867	0.665	1.13	0.349	0.668	loglinear	Mitochondrial Respiration	NM_001161778.1:950
PRKAA1-mRNA	-0.0959	0.0904	-0.273	0.0814	0.936	0.828	1.06	0.349	0.668	loglinear	AMPK, Autophagy, PI3K, mTOR, p53 Pathway	NM_006251.5:366
ADAL-mRNA	-0.067	0.0637	-0.192	0.0579	0.955	0.875	1.04	0.352	0.668	loglinear	Nucleotide Salvage	NM_001012969.2:890
BCL2L1-mRNA	0.136	0.13	-0.118	0.391	1.1	0.921	1.31	0.353	0.668	lm.nb	Autophagy, Cytokine & Chemokine Signaling, NF-kB, PI3K	NM_138578.1:1560
ENO1-mRNA	-0.29	0.277	-0.834	0.253	0.818	0.561	1.19	0.354	0.668	lm.nb	Glycolysis, Myc	NM_001428.2:1689
KYAT3-mRNA	0.219	0.209	-0.191	0.629	1.16	0.876	1.55	0.354	0.668	lm.nb	Amino Acid Synthesis, TryptophanKynurenine Metabolism	NM_001008661.2:1445
SCD-mRNA	-0.502	0.48	-1.44	0.438	0.706	0.368	1.36	0.354	0.668	lm.nb	AMPK, Fatty Acid Synthesis	NM_005063.4:2025
LAMTOR4-mRNA	-0.2	0.192	-0.575	0.176	0.871	0.671	1.13	0.355	0.668	lm.nb	Autophagy, mTOR, p53 Pathway	NM_001008395.2:494
GOT1-mRNA	-0.346	0.342	-1.02	0.324	0.787	0.494	1.25	0.369	0.691	lm.nb	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism	NM_002079.2:615
STAT5A-mRNA	-0.161	0.162	-0.478	0.155	0.894	0.718	1.11	0.375	0.699	lm.nb	Cytokine & Chemokine Signaling, Transcriptional Regulation	NM_003152.2:3460
SOS1-mRNA	0.155	0.157	-0.151	0.462	1.11	0.9	1.38	0.377	0.701	loglinear	Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_005633.2:1635
STK11-mRNA	-0.204	0.208	-0.613	0.204	0.868	0.654	1.15	0.383	0.708	lm.nb	AMPK, Autophagy, PI3K, mTOR	NM_000455.4:2060
GUSB-mRNA	-0.142	0.146	-0.428	0.143	0.906	0.743	1.1	0.385	0.708	lm.nb	Lysosomal Degradation	NM_000181.3:1899
MRAS-mRNA	0.0913	0.0937	-0.0923	0.275	1.07	0.938	1.21	0.385	0.708	loglinear	Autophagy, MAPK	NM_001085049.2:1700
PRDX1-mRNA	-0.37	0.381	-1.12	0.377	0.774	0.461	1.3	0.387	0.708	lm.nb	Reactive Oxygen Response, p53 Pathway	NM_002574.2:632
SDHB-mRNA	-0.125	0.13	-0.38	0.129	0.917	0.768	1.09	0.39	0.71	loglinear	IDH12 Activity, Mitochondrial Respiration	NM_003000.2:245
PIK3R1-mRNA	0.159	0.166	-0.165	0.484	1.12	0.892	1.4	0.39	0.71	lm.nb	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_181504.2:1105
UQCR10-mRNA	-0.227	0.238	-0.694	0.24	0.854	0.618	1.18	0.394	0.715	lm.nb	Mitochondrial Respiration	NM_001003684.1:40
MPC1-mRNA	-0.182	0.192	-0.558	0.195	0.882	0.679	1.14	0.397	0.718	lm.nb	Mitochondrial Respiration	NM_016098.2:210
UQCRQ-mRNA	-0.28	0.297	-0.863	0.302	0.824	0.55	1.23	0.399	0.718	lm.nb	Mitochondrial Respiration	NM_014402.4:172
GPX4-mRNA	-0.107	0.114	-0.329	0.116	0.929	0.796	1.08	0.4	0.718	loglinear	Reactive Oxygen Response	NM_001039847.1:435
NUP205-mRNA	-0.18	0.192	-0.556	0.197	0.883	0.68	1.15	0.403	0.72	lm.nb	Cell Cycle, Cytokine & Chemokine Signaling, Glycolysis	NM_015135.1:5075
WDR45-mRNA	0.138	0.149	-0.154	0.43	1.1	0.899	1.35	0.407	0.724	loglinear	Autophagy	NM_007075.3:1390
NEU1-mRNA	-0.089	0.0969	-0.279	0.101	0.94	0.824	1.07	0.41	0.727	loglinear	Lysosomal Degradation	NM_000434.3:1508
UBE2T-mRNA	-0.585	0.638	-1.84	0.666	0.667	0.28	1.59	0.411	0.727	lm.nb	DNA Damage Repair	NM_014176.3:595
CDC20-mRNA	-0.915	1.01	-2.9	1.07	0.53	0.134	2.1	0.417	0.733	lm.nb	Antigen Presentation, Cell Cycle	NM_001255.2:430
ARPC4-mRNA	0.119	0.131	-0.139	0.376	1.09	0.908	1.3	0.417	0.733	loglinear	Endocytosis	NM_005718.4:970
KMT2A-mRNA	-0.324	0.359	-1.03	0.381	0.799	0.49	1.3	0.418	0.733	lm.nb	Amino Acid Synthesis, Epigenetic Regulation, Transcriptional Regulation	NM_005933.2:14000
SLC16A6-mRNA	-0.63	0.714	-2.03	0.769	0.646	0.245	1.7	0.427	0.745	lm.nb	Amino Acid Transporters	NM_001174166.1:855
AKT1S1-mRNA	0.17	0.207	-0.236	0.576	1.13	0.849	1.49	0.457	0.795	lm.nb	AMPK, Autophagy, mTOR	NM_032375.3:1850
ATP5ME-mRNA	-0.23	0.282	-0.783	0.322	0.852	0.581	1.25	0.46	0.796	lm.nb	Mitochondrial Respiration	NM_007100.3:184
CCNB2-mRNA	-0.347	0.427	-1.19	0.49	0.786	0.44	1.4	0.462	0.796	lm.nb	Cell Cycle	NM_004701.2:980
PRKAG1-mRNA	0.087	0.107	-0.123	0.297	1.06	0.918	1.23	0.462	0.796	loglinear	AMPK, Autophagy, Mitochondrial Respiration, mTOR, p53 Pathway	NM_002733.3:825
HMOX1-mRNA	0.486	0.609	-0.708	1.68	1.4	0.612	3.21	0.47	0.803	lm.nb	Cytokine & Chemokine Signaling, KEAP1NRF2 Pathway, Reactive Oxygen Response	NM_002133.2:781
TK2-mRNA	-0.203	0.256	-0.704	0.298	0.869	0.614	1.23	0.472	0.803	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_004614.3:2165
NSD1-mRNA	-0.15	0.19	-0.522	0.222	0.901	0.696	1.17	0.473	0.803	lm.nb	Amino Acid Synthesis, Epigenetic Regulation	NM_022455.4:3140
CD209-mRNA	-0.082	0.105	-0.287	0.123	0.945	0.82	1.09	0.477	0.803	loglinear	NA	NM_001144899.1:950
GAPDH-mRNA	-0.101	0.128	-0.352	0.151	0.933	0.783	1.11	0.477	0.803	lm.nb	Glycolysis	NM_001256799.1:386
PRKAB1-mRNA	0.122	0.156	-0.185	0.428	1.09	0.88	1.35	0.48	0.803	loglinear	AMPK, Autophagy, Mitochondrial Respiration, mTOR, p53 Pathway	NM_006253.4:1550
NDUFA6-mRNA	-0.166	0.215	-0.588	0.255	0.891	0.665	1.19	0.482	0.803	lm.nb	Mitochondrial Respiration, Reactive Oxygen Response	NM_002490.3:430
CD274-mRNA	2.44	3.06	-3.57	8.44	5.42	0.0845	348	0.484	0.803	Wald	TCR & Costimulatory Signaling	NM_014143.3:1243
KMT2D-mRNA	0.165	0.214	-0.255	0.584	1.12	0.838	1.5	0.485	0.803	lm.nb	Amino Acid Synthesis, Epigenetic Regulation, Transcriptional Regulation	NM_003482.3:6070
HEXB-mRNA	-0.178	0.232	-0.634	0.277	0.884	0.645	1.21	0.486	0.803	lm.nb	Lysosomal Degradation	NM_000521.3:950
PSMB3-mRNA	0.119	0.155	-0.185	0.423	1.09	0.879	1.34	0.487	0.803	lm.nb	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002795.3:22
FAH-mRNA	0.06	0.0785	-0.0939	0.214	1.04	0.937	1.16	0.487	0.803	loglinear	Amino Acid Synthesis	NM_000137.1:920
ATF7-mRNA	0.107	0.14	-0.168	0.382	1.08	0.89	1.3	0.489	0.803	loglinear	Transcriptional Regulation	NM_001130060.1:203
MAP2K2-mRNA	0.109	0.143	-0.171	0.389	1.08	0.888	1.31	0.489	0.803	lm.nb	Autophagy, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR	NM_030662.3:375
CBR4-mRNA	-0.123	0.162	-0.442	0.195	0.918	0.736	1.14	0.49	0.803	loglinear	Fatty Acid Synthesis	NM_032783.4:520
MAPK1-mRNA	-0.152	0.202	-0.549	0.245	0.9	0.684	1.18	0.494	0.807	lm.nb	Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, TLR Signaling, mTOR	NM_138957.2:430
RPS6KA1-mRNA	-0.159	0.212	-0.576	0.257	0.896	0.671	1.2	0.496	0.807	lm.nb	Cytokine & Chemokine Signaling, MAPK, TLR Signaling, mTOR	NM_002953.3:2000
ITGB1-mRNA	-0.247	0.337	-0.908	0.414	0.843	0.533	1.33	0.504	0.816	lm.nb	Cytokine & Chemokine Signaling, PI3K	NM_002211.3:355
CCND1-mRNA	0.401	0.547	-0.671	1.47	1.32	0.628	2.77	0.504	0.816	lm.nb	AMPK, Cell Cycle, Cytokine & Chemokine Signaling, Epigenetic Regulation, PI3K	NM_053056.2:690
PSMB1-mRNA	0.0878	0.122	-0.152	0.327	1.06	0.9	1.25	0.512	0.826	loglinear	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia	NM_002793.2:0
S100A12-mRNA	0.409	0.577	-0.722	1.54	1.33	0.606	2.91	0.518	0.831	lm.nb	Cytokine & Chemokine Signaling, TLR Signaling	NM_005621.1:260
TALDO1-mRNA	-0.101	0.143	-0.381	0.179	0.932	0.768	1.13	0.519	0.831	loglinear	Cytokine & Chemokine Signaling, Pentose Phosphate Pathway	NM_006755.1:262
